CMOD6001,Creativity Innovation & Teamwork
COMH6002,Computer Architecture
COMP6035,Computer Security Principles
MATH6055,Maths for Computer Science
SOFT6007,Web Development Fundamentals
SOFT6018,Programming Fundamentals
COMP6027,Networking Fundamentals
COMP6041,Introduction to Databases
COMP6042,Operating Systems in Practice
COMP6043,Physical Computing
MATH6004,Discrete Maths
SOFT6017,Modular Programming
COMP7035,Linear Data Structures and Algorithms
SOFT7004,Object Oriented Principles
SOFT7006,Operating Systems
SOFT7007,Requirements Engineering
SOFT7008,Server-side Web Development
SOFT7022,Database Design
COMP7013,Object Oriented Programming
COMP7037,NoSQL Data Architectures
COMP7038,Non-linear Data Structures and Algorithms
SOFT7005,OO Analysis and Design
SOFT7019,C Programming
STAT7007,Probability and Statistics
